company,listing_date,year,first_day_return,first_day_open_return,issue_price,face_value,lot_size,total_issue_size,fresh_issue,ofs,sub_total,gmp_value,gmp_available,revenue,profit,assets,net_worth,borrowing,brokers_subscribe,brokers_avoid,nifty_close,vix_close,nifty_7d_return,nifty_30d_return,listing_open,listing_close,listing_high,listing_low
Xelpmoc Design & Tech Ltd.,2019-02-04,2019,-0.09318181818181816,-0.13636363636363635,66.0,10.0,200.0,3501442.0,3501442.0,,2.72,,0,3.77,-2.24,24.77,17.57,,0.0,0.0,10893.650390625,15.720000267028809,0.021769873066245372,0.015502504095202046,57.0,59.85,59.85,55.15
Chalet Hotels Ltd.,2019-02-07,2019,0.03714285714285706,0.039285714285714285,280.0,10.0,53.0,58613571.0,33928571.0,24685000.0,1.41,,0,498.2,-41.63,3756.4,467.44,2569.89,0.0,0.0,11062.4501953125,15.630000114440918,0.02137393264906622,0.024097035800705914,291.0,290.4,295.3,250.15
MSTC Ltd.,2019-03-29,2019,-0.04833333333333331,-0.075,120.0,10.0,90.0,17670400.0,,17670400.0,1.36,,0,1491.55,-15.88,4256.63,327.92,301.94,1.0,0.0,11570.0,16.649999618530273,0.009871745892767613,0.07063702273899987,111.0,114.2,116.55,110.05
Rail Vikas Nigam Ltd.,2019-04-11,2019,0.0026315789473684583,0.0,19.0,10.0,780.0,253457280.0,,253457280.0,1.7,,0,3770.4,253.62,8732.41,4062.12,,1.0,0.0,11584.2998046875,21.1299991607666,-0.0011812549846956372,0.025050402123875635,19.0,19.05,19.75,18.6
Metropolis Healthcare Ltd.,2019-04-15,2019,0.09039772727272723,0.09090909090909091,880.0,2.0,17.0,13685095.0,,13685095.0,3.68,,0,566.82,88.77,583.88,,,0.0,1.0,11643.4501953125,21.0,0.0033564733777844804,0.018955407075611903,960.0,959.55,981.3,934.8
Polycab India Ltd.,2019-04-16,2019,0.2174721189591078,0.17657992565055763,538.0,10.0,27.0,25022067.0,7440067.0,17582000.0,36.51,,0,5561.05,358.22,5385.91,,,7.0,0.0,11690.349609375,21.38999938964844,0.0015763787331691387,0.023059724159125633,633.0,655.0,667.55,633.0
Neogen Chemicals Ltd.,2019-05-08,2019,0.22581395348837213,0.16744186046511628,215.0,10.0,65.0,6155813.0,3255813.0,2900000.0,28.96,,0,159.69,12.22,237.41,61.49,111.76,1.0,2.0,11497.900390625,26.479999542236328,-0.021301225442236334,-0.009186057940885001,251.0,263.55,263.55,250.1
Barak Valley Cements Ltd.,2019-07-01,2019,0.33452380952380945,0.5476190476190477,42.0,10.0,150.0,5660000.0,5660000.0,,28.3,,0,,,,,,,,11788.849609375,14.949999809265137,0.007624092667031818,-0.011234793631260747,65.0,56.05,72.0,53.1
IndiaMART InterMESH Ltd.,2019-07-04,2019,0.3386947584789311,0.21274409044193218,973.0,10.0,15.0,4887862.0,,4887862.0,20.31,,0,53.33,1.26,81.88,16.07,,1.0,1.0,11916.75,13.699999809265137,0.006350536589622066,-0.008725955856011736,1180.0,1302.55,1339.0,1180.0
Affle (India) Ltd.,2019-08-08,2019,0.1746308724832215,0.24818791946308721,745.0,10.0,20.0,6161073.0,1208053.0,4953020.0,47.7,,0,249.79,48.82,158.27,72.41,8.99,1.0,0.0,10855.5,16.739999771118164,-0.01133879781420765,-0.060609763579583684,929.9,875.1,958.3,751.05
Spandana Sphoorty Financial Ltd.,2019-08-19,2019,-0.008878504672897223,-0.037383177570093455,856.0,10.0,17.0,13900110.0,4543385.0,9356725.0,1.05,,0,1041.71,308.75,4898.04,1889.44,1552.99,5.0,0.0,11047.7998046875,16.649999618530273,-0.00556728463657986,-0.03252842308492239,824.0,848.4,865.0,690.0
Sterling & Wilson Solar Ltd.,2019-08-20,2019,-0.07006410256410253,-0.10256410256410256,780.0,1.0,19.0,36935157.0,,36935157.0,0.99,,0,8449.93,638.23,5391.92,,2227.78,3.0,0.0,11053.900390625,16.75,0.011719983875681865,-0.03199418607833264,700.0,725.35,755.5,691.0
Indian Railway Catering & Tourism Corp.Ltd.,2019-10-14,2019,1.276875,1.0125,320.0,10.0,40.0,20160000.0,,20160000.0,109.21,,0,1956.66,272.6,2583.78,1042.84,,13.0,0.0,11305.0498046875,17.139999389648438,0.01605635315919678,0.020689010011001856,644.0,728.6,743.8,625.0
Vishwaraj Sugar Industries Ltd.,2019-10-15,2019,0.005833333333333357,0.02000000000000005,60.0,10.0,240.0,10000000.0,3000000.0,7000000.0,1.09,,0,307.88,-17.62,719.55,211.5,,0.0,4.0,11341.150390625,17.43000030517578,0.019300941226323864,0.02394839161107987,61.2,60.35,61.2,60.25
Precision Pipes & Profiles Co.Ltd.,2019-12-02,2019,-0.07566666666666663,0.06666666666666667,150.0,10.0,45.0,5000000.0,5000000.0,,10.59,,0,,,,,,,,12056.0498046875,13.899999618530272,-0.001466006444766539,0.0139143693966495,160.0,138.65,175.0,132.6
CSB Bank Ltd.,2019-12-04,2019,0.5389743589743591,0.41025641025641024,195.0,10.0,75.0,21009067.0,1230769.0,19778298.0,47.88,,0,816.71,44.27,17323.26,1535.99,,5.0,1.0,11994.2001953125,14.5600004196167,-0.00880114359343068,0.004430036218019935,275.0,300.1,307.0,275.0
Ujjivan Small Finance Bank Ltd.,2019-12-12,2019,0.5108108108108108,0.5675675675675675,37.0,10.0,400.0,202702702.0,202702702.0,,99.61,,0,1434.86,187.11,16107.9,1993.48,3470.17,14.0,0.0,11910.150390625,13.380000114440918,-0.009007022272651263,-0.00027698144814491694,58.0,55.9,62.8,53.1
Manaksia Ltd.,2019-12-26,2019,0.05062499999999996,0.25,160.0,2.0,40.0,15500000.0,15500000.0,,8.66,,0,,,,,,,,12214.5498046875,11.630000114440918,-0.0036828299147366804,0.014691312003588985,200.0,168.1,248.7,161.55
Prince Pipes & Fittings Ltd.,2019-12-30,2019,-0.06404494382022476,-0.10112359550561797,178.0,10.0,84.0,28089885.0,14044943.0,14044942.0,1.66,,0,380.19,26.67,1014.46,420.41,,8.0,2.0,12245.7998046875,10.529999732971191,-0.0013822507441234634,0.015738986075374665,160.0,166.6,177.95,152.6
SBI Cards & Payment Services Ltd.,2020-03-16,2020,-0.09509933774834431,-0.12847682119205298,755.0,10.0,19.0,137149314.0,6622516.0,130526798.0,19.21,0.0,1,6843.06,1161.21,25993.47,4822.82,18577.69,9.0,0.0,9955.2001953125,51.470001220703125,-0.04748144905503825,-0.178169717561985,658.0,683.2,755.0,658.0
Rossari Biotech Ltd.,2020-07-23,2020,0.7467058823529412,0.5764705882352941,425.0,2.0,35.0,11676470.0,1176470.0,10500000.0,55.11,,0,603.82,65.25,471.52,286.68,66.93,8.0,0.0,11132.599609375,24.88999938964844,0.03655970529862174,0.06318399478321077,670.0,742.35,804.0,663.55
Happiest Minds Technologies Ltd.,2020-09-17,2020,1.2349397590361446,1.1144578313253013,166.0,2.0,90.0,42290091.0,6626506.0,35663585.0,82.26,,0,186.99,50.18,573.08,319.01,98.19,7.0,0.0,11604.5498046875,19.65999984741211,0.01356419020350678,0.019252829542625968,351.0,371.0,395.0,351.0
Route Mobile Ltd.,2020-09-21,2020,0.8602857142857143,1.022857142857143,350.0,10.0,40.0,17142856.0,6857142.0,10285714.0,51.76,310.0,1,312.3,26.93,634.83,297.02,43.25,11.0,0.0,11504.9501953125,20.049999237060547,0.005673086370516272,0.011726633940537513,708.0,651.1,735.0,625.0
Computer Age Management Services Ltd.,2020-10-01,2020,0.13951219512195115,0.23414634146341465,1230.0,10.0,12.0,18246600.0,,18246600.0,33.02,328.0,1,163.46,40.83,835.45,528.2,,15.0,0.0,11247.5498046875,19.530000686645508,0.040904906088930174,-0.01941546132930843,1518.0,1401.6,1550.0,1306.2
