filename,total_pages,risk_start_page,risk_end_page,risk_pages,chars,words,n_tables,status,error
ACME_Solar_Holdings_Ltd_.pdf,722,38,99,61,274055,36477,396,ok,
AGS_Transact_Technologies_Ltd_.pdf,477,26,62,36,179108,27492,42,ok,
ASK_Automotive_Ltd_.pdf,501,36,87,51,260805,35628,473,ok,
Aadhar_Housing_Finance_Ltd_.pdf,455,30,65,35,190279,27689,221,ok,
Aastha_Spintex_Ltd_.pdf,412,24,66,42,198226,28032,155,ok,
Abans_Holdings_Ltd_.pdf,371,26,66,40,188770,27996,133,ok,
Adani_Wilmar_Ltd_.pdf,363,22,49,27,160429,24938,31,ok,
Aditya_Birla_Sun_Life_AMC_Ltd_.pdf,397,27,55,28,155490,24066,19,ok,
Aditya_Infotech_Ltd_.pdf,545,40,115,75,325099,39545,492,ok,
Advance_Agrolife_Ltd_.pdf,488,41,95,54,222545,31397,234,ok,
Advit_Jewels_Ltd_.pdf,467,26,81,55,227420,32167,215,ok,
Aegis_Vopak_Terminals_Ltd_.pdf,568,40,78,38,183372,24062,279,ok,
Aequs_Ltd_.pdf,704,40,98,58,267554,35957,351,ok,
Aeroflex_Industries_Ltd_.pdf,444,39,71,32,156218,23627,82,ok_E_standalone,tried: A_strict=NO(no start match) | B_endash_pre=NO(no start match) | C_letter=NO(no start match) | D_reversed=NO(no start match) | E_standalone=pp39-71
Aether_Industries_Ltd_.pdf,398,27,60,33,187645,28550,61,ok,
Afcons_Infrastructure_Ltd_.pdf,764,43,108,65,265528,38187,314,ok,
Affle__India__Ltd_.pdf,578,19,50,31,134131,20564,32,ok,
Ajax_Engineering_Ltd_.pdf,403,31,68,37,198777,29176,127,ok,
Akme_Fintrade__India__Ltd_.pdf,484,36,71,35,167655,24629,190,ok,
Akums_Drugs___Pharmaceuticals_Ltd_.pdf,549,32,80,48,245364,34113,313,ok,
All_Time_Plastics_Ltd_.pdf,560,36,95,59,255966,34754,341,ok,
Allied_Blenders___Distillers_Ltd_.pdf,629,38,89,51,257658,37447,195,ok,
Amagi_Media_Labs_Ltd_.pdf,517,59,97,38,218257,31290,201,ok,
Amanta_Healthcare_Ltd_.pdf,506,35,82,47,239998,33399,327,ok,
Ami_Organics_Ltd_.pdf,401,24,61,37,178813,26867,87,ok,
Amir_Chand_Jagdish_Kumar__Exports__Ltd_.pdf,520,38,80,42,206356,29607,271,ok_B_endash_pre,tried: A_strict=NO(no start match) | B_endash_pre=pp38-80
Anand_Rathi_Share___Stock_Brokers_Ltd_.pdf,190,8,16,8,18147,2700,17,ok,
Anand_Rathi_Wealth_Ltd_.pdf,441,28,61,33,155227,24028,32,ok,
Angel_Broking_Ltd_.pdf,470,18,54,36,173896,26677,45,ok,
Anlon_Healthcare_Ltd_.pdf,409,36,86,50,215939,31290,159,ok,
Anthem_Biosciences_Ltd_.pdf,523,36,81,45,245980,36176,206,ok,
Antony_Waste_Handling_Cell_Ltd_.pdf,428,24,44,20,100816,15550,19,ok,
Anupam_Rasayan_India_Ltd_.pdf,348,26,62,36,194754,29734,18,ok,
Apeejay_Surrendra_Park_Hotels_Ltd_.pdf,564,33,105,72,329799,46144,471,ok,
Aptus_Value_Housing_Finance_India_Ltd_.pdf,406,27,57,30,166627,26092,23,ok,
Archean_Chemical_Industries_Ltd_.pdf,426,25,62,37,180130,26977,90,ok,
Arisinfra_Solutions_Ltd_.pdf,673,48,94,46,225678,31695,310,ok,
Arkade_Developers_Ltd_.pdf,473,31,63,32,152332,23032,103,ok,
Ather_Energy_Ltd_.pdf,586,47,111,64,285984,41801,316,ok,
Atlanta_Electricals_Ltd_.pdf,226,8,17,9,32263,4888,23,ok_D_reversed,tried: A_strict=NO(no start match) | B_endash_pre=NO(no start match) | C_letter=NO(no start match) | D_reversed=pp8-17
Avalon_Technologies_Ltd_.pdf,588,40,83,43,215084,31735,134,ok,
Awfis_Space_Solutions_Ltd_.pdf,506,35,73,38,186545,28062,131,ok,
Aye_Finance_Ltd_.pdf,614,37,82,45,216211,31884,193,ok,
Azad_Engineering_Ltd_.pdf,438,31,67,36,213553,31564,133,ok,
BLS_E-Services_Ltd_.pdf,511,43,82,39,196730,29802,57,ok,
BMW_Ventures_Ltd_.pdf,487,37,96,59,243858,33305,343,ok,
Baazar_Style_Retail_Ltd_.pdf,535,40,78,38,176064,25719,171,ok,
Bajaj_Housing_Finance_Ltd_.pdf,547,40,85,45,232037,33154,333,ok,
Bansal_Wire_Industries_Ltd_.pdf,487,38,83,45,183390,25929,211,ok,
Barak_Valley_Cements_Ltd_.pdf,265,10,21,11,38917,5745,38,ok_A_strict,tried: A_strict=pp10-21
Barbeque-Nation_Hospitality_Ltd_.pdf,593,36,75,39,181592,28204,20,ok_A_strict,tried: A_strict=pp36-75
Belrise_Industries_Ltd_.pdf,593,44,101,57,246658,31027,360,ok,
Bharat_Coking_Coal_Ltd_.pdf,564,35,78,43,220899,32402,138,ok,
Bharti_Hexacom_Ltd_.pdf,536,38,73,35,174513,26271,119,ok,
Bikaji_Foods_International_Ltd_.pdf,463,34,84,50,255929,37676,124,ok,
Billionbrains_Garage_Ventures_Ltd_.pdf,568,41,89,48,221789,32090,190,ok,
BlueStone_Jewellery___Lifestyle_Ltd_.pdf,532,36,104,68,308026,43539,355,ok,
Blue_Jet_Healthcare_Ltd_.pdf,396,32,65,33,160224,24094,52,ok,
Borana_Weaves_Ltd_.pdf,417,39,79,40,195337,27948,213,ok,
Brainbees_Solutions_Ltd_.pdf,682,86,146,60,266227,38226,275,ok,
Brigade_Hotel_Ventures_Ltd_.pdf,437,33,83,50,266422,37277,306,ok,
Burger_King_India_Ltd_.pdf,339,21,52,31,183781,28379,35,ok,
CMR_Green_Technologies_Ltd_.pdf,504,36,74,38,217104,31402,196,ok,
CMS_Info_Systems_Ltd_.pdf,560,14,48,34,167626,26318,9,ok,
CSB_Bank_Ltd_.pdf,604,22,52,30,156406,24081,38,ok,
CSM_Technologies_Ltd_.pdf,508,29,81,52,265775,36768,270,ok,
C_E_Info_systems_Ltd_.pdf,329,31,57,26,150072,23062,15,ok,
Campus_Activewear_Ltd_.pdf,523,31,75,44,208263,31200,109,ok,
Canara_HSBC_Life_Insurance_Co_Ltd_.pdf,687,41,94,53,287019,40655,253,ok,
Canara_Robeco_Asset_Management_Co_Ltd_.pdf,639,35,84,49,228550,32954,238,ok,
Capillary_Technologies_India_Ltd_.pdf,637,37,106,69,354254,49725,412,ok,
Capital_Small_Finance_Bank_Ltd_.pdf,484,31,82,51,237635,32721,411,ok,
CarTrade_Tech_Ltd_.pdf,340,24,53,29,137229,21153,30,ok,
Carraro_India_Ltd_.pdf,505,29,79,50,261699,38129,223,ok,
Ceigall_India_Ltd_.pdf,473,37,79,42,214666,32418,190,ok,
Cello_World_Ltd_.pdf,607,40,73,33,156802,22791,152,ok,
Central_Mine_Planning___Design_Institute_Ltd_.pdf,556,41,87,46,218862,30318,230,ok,
Chalet_Hotels_Ltd_.pdf,701,17,48,31,144060,22533,9,ok,
Chemcon_Speciality_Chemicals_Ltd_.pdf,347,24,52,28,131737,20485,27,ok,
Chemplast_Sanmar_Ltd_.pdf,520,30,57,27,125148,19199,23,ok,
Clean_Max_Enviro_Energy_Solutions_Ltd_.pdf,994,48,103,55,322882,45546,388,ok,
Clean_Science___Technology_Ltd_.pdf,331,22,57,35,203177,31119,23,ok,
Computer_Age_Management_Services_Ltd_.pdf,301,21,47,26,146973,22670,17,ok,
Concord_Biotech_Ltd_.pdf,380,29,61,32,157171,23702,65,ok,
Concord_Enviro_Systems_Ltd_.pdf,611,33,101,68,320260,42416,572,ok,
Corona_Remedies_Ltd_.pdf,545,34,90,56,281143,39305,368,ok,
Craftsman_Automation_Ltd_.pdf,454,23,55,32,153818,23873,8,ok,
Credo_Brands_Marketing_Ltd_.pdf,397,30,72,42,228456,33828,175,ok,
Crizac_Ltd_.pdf,486,40,75,35,160740,23713,114,ok,
Cyient_DLM_Ltd_.pdf,375,30,69,39,204035,29409,186,ok,
DAM_Capital_Advisors_Ltd_.pdf,405,30,69,39,181013,26773,115,ok,
DCX_Systems_Ltd_.pdf,437,30,71,41,205377,31189,66,ok,
DEE_Development_Engineers_Ltd_.pdf,508,33,95,62,321792,45549,352,ok,
DOMS_Industries_Ltd_.pdf,506,35,73,38,176526,25021,210,ok,
Data_Patterns__India__Ltd_.pdf,414,36,68,32,163157,24548,75,ok,
Deepak_Builders___Engineers_India_Ltd_.pdf,464,38,87,49,219842,32839,159,ok,
Delhivery_Ltd_.pdf,650,37,91,54,271763,39430,143,ok,
Denta_Water___Infra_Solutions_Ltd_.pdf,423,34,72,38,193383,28950,115,ok,
Dev_Accelerator_Ltd_.pdf,473,42,83,41,204932,30533,175,ok,
Devyani_International_Ltd_.pdf,421,28,60,32,189742,29503,21,ok,
Dharmaj_Crop_Guard_Ltd_.pdf,401,33,69,36,175819,26625,29,ok,
