Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Prince Pipes & Fittings Ltd.,"Mon, Dec 30, 2019",178,166.9,-6.24,270.4,52.05
Manaksia Ltd.,"Thu, Dec 26, 2019",160,167.7,4.81,,0
Ujjivan Small Finance Bank Ltd.,"Thu, Dec 12, 2019",37,55.95,51.22,61.62,66.41
CSB Bank Ltd.,"Wed, Dec 4, 2019",195,300.05,53.87,353.5,81.28
Precision Pipes & Profiles Co.Ltd.,"Mon, Dec 2, 2019",150,136.1,-9.27,,0
Vishwaraj Sugar Industries Ltd.,"Tue, Oct 15, 2019",60,60.35,0.58,5.52,-53.92
Indian Railway Catering & Tourism Corp.Ltd.,"Mon, Oct 14, 2019",320,727.75,127.42,500.7,682.66
Sterling & Wilson Solar Ltd.,"Tue, Aug 20, 2019",780,726.2,-6.9,240.08,-69.27
Spandana Sphoorty Financial Ltd.,"Mon, Aug 19, 2019",856,847.8,-0.96,296.55,-65.37
Affle (India) Ltd.,"Thu, Aug 8, 2019",745,873.65,17.27,1472.7,887.79
IndiaMART InterMESH Ltd.,"Thu, Jul 4, 2019",973,1301.95,33.81,1923.5,97.66
Barak Valley Cements Ltd.,"Mon, Jul 1, 2019",42,55.3,31.67,,0
Neogen Chemicals Ltd.,"Wed, May 8, 2019",215,263.55,22.58,1955.5,810.47
Polycab India Ltd.,"Tue, Apr 16, 2019",538,654.8,21.71,9401,1648.58
Metropolis Healthcare Ltd.,"Mon, Apr 15, 2019",880,959.85,9.07,566.15,-35.74
Rail Vikas Nigam Ltd.,"Thu, Apr 11, 2019",19,19.05,0.26,232.66,1125
Embassy Office Parks,"Mon, Apr 1, 2019",300,314.67,4.89,448.41,49.47
MSTC Ltd.,"Fri, Mar 29, 2019",120,113.95,-5.04,681.25,466.54
Chalet Hotels Ltd.,"Thu, Feb 7, 2019",280,291.7,4.18,817.8,191.71
Xelpmoc Design & Tech Ltd.,"Mon, Feb 4, 2019",66,59.85,-9.32,85.35,30.17
