Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Innova Captab Ltd.,"Fri, Dec 29, 2023",448,541.4,20.85,968.1,116.38
Azad Engineering Ltd.,"Thu, Dec 28, 2023",524,677.5,29.29,2275.3,334.16
RBZ Jewellers Ltd.,"Wed, Dec 27, 2023",100,105,5,140.68,40.95
Credo Brands Marketing Ltd.,"Wed, Dec 27, 2023",280,312.2,11.5,87.02,-68.94
Happy Forgings Ltd.,"Wed, Dec 27, 2023",850,1030.8,21.27,1495.7,75.76
Muthoot Microfin Ltd.,"Tue, Dec 26, 2023",291,266.15,-8.54,213.41,-26.58
Motisons Jewellers Ltd.,"Tue, Dec 26, 2023",55,103.55,88.27,14.91,171.27
Suraj Estate Developers Ltd.,"Tue, Dec 26, 2023",360,334.5,-7.08,202.71,-43.11
Inox India Ltd.,"Thu, Dec 21, 2023",660,939.95,42.42,1806.4,173.46
India Shelter Finance Corp.Ltd.,"Wed, Dec 20, 2023",493,544.7,10.49,777.95,57.64
DOMS Industries Ltd.,"Wed, Dec 20, 2023",790,1326.05,67.85,2307.2,192.31
Flair Writing Industries Ltd.,"Fri, Dec 1, 2023",304,450.9,48.32,261.45,-13.82
Tata Technologies Ltd.,"Thu, Nov 30, 2023",500,1313,162.6,726.55,45.5
Gandhar Oil Refinery (India) Ltd.,"Thu, Nov 30, 2023",169,301.4,78.34,192.65,13.99
Fedbank Financial Services Ltd.,"Thu, Nov 30, 2023",140,140.25,0.18,156.12,11.5
Indian Renewable Energy Development Agency Ltd.,"Wed, Nov 29, 2023",32,60,87.5,125.16,291.09
ASK Automotive Ltd.,"Wed, Nov 15, 2023",282,310.1,9.96,467.95,66.08
Protean eGov Technologies Ltd.,"Mon, Nov 13, 2023",792,883,11.49,589.85,-25.49
ESAF Small Finance Bank Ltd.,"Fri, Nov 10, 2023",60,69.05,15.08,33.85,-43.5
Honasa Consumer Ltd.,"Tue, Nov 7, 2023",324,337.1,4.04,464.85,43.41
Cello World Ltd.,"Mon, Nov 6, 2023",648,791.7,22.18,368.1,-43.27
Blue Jet Healthcare Ltd.,"Wed, Nov 1, 2023",346,413.4,19.48,579.15,67.31
IRM Energy Ltd.,"Thu, Oct 26, 2023",505,473.15,-6.31,264.1,-47.78
Plaza Wires Ltd.,"Thu, Oct 12, 2023",54,80.2,48.52,46.64,-15.11
Valiant Laboratories Ltd.,"Fri, Oct 6, 2023",140,170.25,21.61,64.23,-53.57
Updater Services Ltd.,"Wed, Oct 4, 2023",300,283.9,-5.37,189.44,-36.98
JSW Infrastructure Ltd.,"Tue, Oct 3, 2023",119,157.3,32.18,322.45,171.05
Manoj Vaibhav Gems 'N' Jewellers Ltd.,"Tue, Oct 3, 2023",215,215.5,0.23,148.12,-31.14
Yatra Online Ltd.,"Thu, Sep 28, 2023",142,135.9,-4.3,112.93,-20.25
Sai Silks (Kalamandir) Ltd.,"Wed, Sep 27, 2023",222,244.9,10.32,102.99,-53.65
Signatureglobal (India) Ltd.,"Wed, Sep 27, 2023",385,458.55,19.1,782.15,102.99
SAMHI Hotels Ltd.,"Fri, Sep 22, 2023",126,143.4,13.81,173.75,37.98
Zaggle Prepaid Ocean Services Ltd.,"Fri, Sep 22, 2023",164,158.35,-3.45,205.45,25.27
EMS Ltd.,"Thu, Sep 21, 2023",211,279.9,32.65,402.55,90.85
R R Kabel Ltd.,"Wed, Sep 20, 2023",1035,1198.05,15.75,2190.5,111.68
Jupiter Life Line Hospitals Ltd.,"Mon, Sep 18, 2023",735,1075.75,46.36,1461,98.95
Ratnaveer Precision Engineering Ltd.,"Mon, Sep 11, 2023",98,129.35,31.99,177.98,82.19
Rishabh Instruments Ltd.,"Mon, Sep 11, 2023",441,443.15,0.49,629.6,42.74
Vishnu Prakash R.Punglia Ltd.,"Tue, Sep 5, 2023",99,145.7,47.17,28,-71.87
Aeroflex Industries Ltd.,"Thu, Aug 31, 2023",108,163.25,51.16,413.5,282.78
Pyramid Technoplast Ltd.,"Tue, Aug 29, 2023",166,177.65,7.02,162.34,-2.14
TVS Supply Chain Solutions Ltd.,"Wed, Aug 23, 2023",197,201,2.03,139.28,-29.49
Concord Biotech Ltd.,"Fri, Aug 18, 2023",741,942.8,27.23,1272.6,71.61
SBFC Finance Ltd.,"Wed, Aug 16, 2023",57,92.2,61.75,92.49,62.3
Yatharth Hospital & Trauma Care Services Ltd.,"Mon, Aug 7, 2023",300,333.85,11.28,827,175.58
Netweb Technologies India Ltd.,"Thu, Jul 27, 2023",500,910.4,82.08,4230.8,746.79
Utkarsh Small Finance Bank Ltd.,"Fri, Jul 21, 2023",25,48,92,14.58,-41.6
Senco Gold Ltd.,"Fri, Jul 14, 2023",317,405.3,27.85,327.25,106.47
Cyient DLM Ltd.,"Mon, Jul 10, 2023",265,420.6,58.72,536.8,102.58
ideaForge Technology Ltd.,"Fri, Jul 7, 2023",672,1294.95,92.7,840.45,24.7
HMA Agro Industries Ltd.,"Tue, Jul 4, 2023",585,585.65,0.11,21.9,-62.51
IKIO Lighting Ltd.,"Fri, Jun 16, 2023",285,403.85,41.7,189.81,-33.47
Nexus Select Trust,"Fri, May 19, 2023",100,104.29,4.29,164.42,64.42
Mankind Pharma Ltd.,"Tue, May 9, 2023",1080,1080,0,2527.4,134.4
Avalon Technologies Ltd.,"Tue, Apr 18, 2023",436,398,-8.72,1639.9,276.92
Udayshivakumar Infra Ltd.,"Mon, Apr 3, 2023",35,31.5,-10,23.27,-35.37
Global Surfaces Ltd.,"Thu, Mar 23, 2023",140,171.05,22.18,40.7,-71.04
Divgi TorqTransfer Systems Ltd.,"Tue, Mar 14, 2023",590,605.2,2.58,963.55,63.86
Sah Polymers Ltd.,"Thu, Jan 12, 2023",65,89.25,37.31,104.75,35.46
Radiant Cash Management Services Ltd.,"Wed, Jan 4, 2023",94,104.9,11.6,39.5,-58.4
