year,IPO,Symbol,Listing Date,IPO Size,Sub,GMP,IPO Price,Estimated Price,Listing Price,Listing Day Cls Price,Closing Price (LTP)
2019,IRCTC,"IRCTC, 542830",14-Oct-19,₹637.97 Cr,111.91x,₹0,₹320.00,,₹626.00 (95.62%),₹728.60 (127.69%),₹503.25 (686.33%)
2019,CSB Bank,"CSBBANK, 542867",4-Dec-19,₹409.68 Cr,47.8x,₹0,₹195.00,,₹275.00 (41.03%),₹300.10 (53.90%),₹360.4 (84.82%)
2019,Ujjivan Bank,"UJJIVANSFB, 542904",12-Dec-19,₹745.95 Cr,101.31x,₹0,₹37.00,,₹58.75 (58.78%),₹55.95 (51.22%),₹65.27 (76.41%)
2019,Prince Pipes,"PRINCEPIPE, 542907",30-Dec-19,₹500.00 Cr,1.56x,₹0,₹178.00,,₹162.30 (-8.82%),₹166.90 (-6.24%),₹267.65 (50.37%)
2020,SBI Cards,"SBICARD, 543066",16-Mar-20,₹10340.79 Cr,26.54x,₹0,₹755.00,,₹661.00 (-12.45%),₹683.20 (-9.51%),₹611.65 (-18.99%)
2020,Rossari Biotech,"ROSSARI, 543213",23-Jul-20,₹496.25 Cr,79.37x,₹0,₹425.00,,₹669.25 (57.47%),₹742.35 (74.67%),₹524.2 (23.34%)
2020,Yes Bank,"YESBANK, 532648",27-Jul-20,₹15000.00 Cr,0.93x,₹0,₹12.00,,₹12.30 (2.50%),₹12.30 (2.50%),₹23.94 (99.5%)
2020,Happiest Minds,"HAPPSTMNDS, 543227",17-Sep-20,₹702.02 Cr,150.98x,₹0,₹166.00,,₹350.00 (110.84%),₹371.00 (123.49%),₹386.3 (132.71%)
2020,Mindspace REIT,"MINDSPACE, 543217",7-Aug-20,₹4500.00 Cr,12.96x,₹0,₹275.00,,₹302 (9.82%),₹303.87 (10.50%),₹488.47 (77.63%)
2020,Mrs. Bectors Food,"BECTORFOOD, 543253",24-Dec-20,₹540.54 Cr,198.02x,₹215,₹288.00,₹503,₹505.00 (75.35%),₹595.55 (106.79%),₹169.37 (192.02%)
2020,Burger King,"RBA, 543248",14-Dec-20,₹810.00 Cr,156.65x,₹43,₹60.00,₹103,₹115.35 (92.25%),₹138.40 (130.67%),₹73.52 (22.53%)
2020,Gland Pharma,"GLAND, 543245",20-Nov-20,₹6479.55 Cr,2.06x,₹118,₹1500.00,₹1618,₹1710.00 (14.00%),₹1820.45 (21.36%),₹2479.4 (65.29%)
2020,Equitas SFB,"EQUITASBNK, 543243",2-Nov-20,₹517.60 Cr,1.95x,₹1,₹33.00,₹34,₹31.00 (-6.06%),₹32.80 (-0.61%),₹82.24 (149.21%)
2020,Likhitha Infrastructure,"LIKHITHA, 543240",15-Oct-20,₹61.20 Cr,9.51x,₹6,₹120.00,₹126,₹130.00 (8.33%),₹136.60 (13.83%),₹243 (305%)
2020,Mazagon Dock,"MAZDOCK, 543237",12-Oct-20,₹443.69 Cr,157.41x,₹105,₹145.00,₹250,₹214.90 (48.21%),₹173.00 (19.31%),₹2420.1 (3261.25%)
2020,UTI AMC,"UTIAMC, 543238",12-Oct-20,₹2159.88 Cr,2.31x,₹-14,₹554.00,₹540,₹500.00 (-9.75%),₹476.60 (-13.97%),₹1004.3 (81.28%)
2020,CAMS,"CAMS, 543232",1-Oct-20,₹2243.12 Cr,46.99x,₹328,₹1230.00,₹1558,₹1518.00 (23.41%),₹1401.60 (13.95%),₹790.5 (221.34%)
2020,Chemcon,"CHEMCON, 543233",1-Oct-20,₹318.00 Cr,149.3x,₹310,₹340.00,₹650,₹731.00 (115.00%),₹584.80 (72.00%),₹184 (-45.88%)
2020,Angel Broking,"ANGELONE, 543235",5-Oct-20,₹600.00 Cr,3.94x,₹-5,₹306.00,₹301,₹275.00 (-10.13%),₹275.85 (-9.85%),₹346.05 (1016.29%)
2020,Route Mobile,"ROUTE, 543228",21-Sep-20,₹600.00 Cr,73.3x,₹310,₹350.00,₹660,₹717.00 (104.86%),₹651.30 (86.09%),₹546.25 (56.07%)
2021,Fino Payments Bank,"FINOPB, 543386",12-Nov-21,₹1200.29 Cr,2.03x,₹0,₹577.00,,₹544.35 (-5.66%),₹545.25 (-5.50%),₹135.4 (-76.53%)
2021,Lodha Developers,"LODHA, 543287",19-Apr-21,₹2500.00 Cr,1.36x,₹0,₹486.00,,₹436 (-10.29%),₹465.25 (-4.27%),₹1220.75 (151.18%)
2021,Barbeque Nation,"BARBEQUE, 543283",7-Apr-21,₹452.87 Cr,5.98x,₹0,₹500.00,,₹489.85 (-2.03%),₹590.40 (18.08%),₹224.87 (-55.03%)
2021,Powergrid InvIT,"PGINVIT, 543290",14-May-21,₹7734.99 Cr,4.83x,₹0,₹100.00,,₹104.00 (4.00%),₹102.99 (2.99%),₹96.75 (-3.25%)
2021,Brookfield India,"BIRET, 543261",16-Feb-21,₹3800.00 Cr,7.94x,₹0,₹275.00,,₹281.70 (2.44%),₹269.96 (-1.83%),₹337.68 (22.79%)
2021,CMS Info Systems,"CMSINFO, 543441",31-Dec-21,₹1100.00 Cr,1.95x,₹-8,₹216.00,₹208,₹220.20 (1.94%),₹238.20 (10.28%),₹262.4 (21.48%)
2021,Supriya Lifescience,"SUPRIYA, 543434",28-Dec-21,₹700.00 Cr,71.51x,₹130,₹274.00,₹404,₹421.00 (53.65%),₹390.85 (42.65%),₹854.6 (211.9%)
2021,HP Adhesives,"HPAL, 543433",27-Dec-21,₹125.96 Cr,20.96x,₹80,₹274.00,₹354,₹315.00 (14.96%),₹334.95 (22.24%),₹34.75 (-36.82%)
2021,Data Patterns,"DATAPATTNS, 543428",24-Dec-21,₹588.22 Cr,119.62x,₹320,₹585.00,₹905,₹856.05 (46.33%),₹755.00 (29.06%),₹4343 (642.39%)
2021,Medplus Health,"MEDPLUS, 543427",23-Dec-21,₹1398.29 Cr,52.59x,₹125,₹796.00,₹921,₹1040.00 (30.65%),₹1121.15 (40.85%),₹826.1 (3.78%)
2021,Metro Brands,"METROBRAND, 543426",22-Dec-21,₹1367.51 Cr,3.64x,₹-55,₹500.00,₹445,₹437.00 (-12.60%),₹493.55 (-1.29%),₹1059.6 (111.92%)
