company,pdf_url,sebi_title,doc_type,match_score
Prince Pipes & Fittings Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2019/1576589642439.pdf,PRINCE PIPES AND FITTINGS LIMITED,RHP,100.0
Manaksia Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/1291713036740.pdf,Manaksia Limited,RHP,100.0
Ujjivan Small Finance Bank Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2019/1575266886933.pdf,Ujjivan Small Finance Bank,RHP,100.0
CSB Bank Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2019/1565675210432.PDF,CSB Bank Limited,RHP,100.0
Precision Pipes & Profiles Co.Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/1291967031292.pdf,Precision Pipes and Profiles Company Limited,RHP,87.27272727272728
Vishwaraj Sugar Industries Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2019/1569234655070.pdf,Vishwaraj Sugar Industries Limited,RHP,100.0
Indian Railway Catering & Tourism Corp.Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2019/1569818278938.PDF,Indian Railway Catering and Tourism Corporation Limited,RHP,93.93939393939394
Spandana Sphoorty Financial Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2018/1530183981177.pdf,Spandana Sphoorty Financial Limited,RHP,100.0
Affle (India) Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2019/1564375161781.pdf,Affle (India) Limited - Red Hearing Prospectus,RHP,100.0
IndiaMART InterMESH Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2019/1561438031002.pdf,IndiaMART InterMESH Ltd,RHP,100.0
Barak Valley Cements Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/1291890422153.pdf,Prospectus  -Barak Valley Cements Limited,RHP,100.0
Neogen Chemicals Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2019/1556032782615.pdf,NEOGEN CHEMICALS LIMITED,RHP,100.0
Polycab India Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2018/1541160009196_6.pdf,Polycab India Limited,RHP,100.0
Metropolis Healthcare Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2019/1553853375519.pdf,Metropolis Healthcare Ltd,RHP,100.0
Rail Vikas Nigam Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2019/1554184649780.pdf,RAIL VIKAS NIGAM LIMITED,RHP,100.0
MSTC Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2019/1552893221527.pdf,MSTC Ltd- Price Band Revision Advertiement,RHP,100.0
Chalet Hotels Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2018/1530849126603.pdf,Chalet Hotels Limited,RHP,100.0
Xelpmoc Design & Tech Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2018/1535533795754.pdf,Xelpmoc Design and Tech Limited,RHP,100.0
Burger King India Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2020/1606458080674.pdf,Burger King India Ltd.,RHP,100.0
Gland Pharma Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2020/1604666447142.pdf,RHP of Gland Pharma Limited,RHP,100.0
Equitas Small Finance Bank Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2019/1576647333973.pdf,Equitas Small Finance Bank Limited,RHP,100.0
Likhitha Infrastructure Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2020/1600667159657.pdf,Likhitha infrastructure Ltd,RHP,100.0
UTI Asset Management Co.Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/1290750457729.pdf,UTI Asset Management Company Limited,RHP,85.1063829787234
Mazagon Dock Shipbuilders Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2018/1522662290321.pdf,Mazagon Dock Shipbuilders Limited,RHP,100.0
Angel Broking Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2018/1536302772232.pdf,Angel Broking Limited,RHP,100.0
Computer Age Management Services Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2020/1600154905156.pdf,Computer Age Management Services Limited,RHP,100.0
Chemcon Speciality Chemicals Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2020/1600236709847.PDF,Chemcon Speciality Chemicals Limited,RHP,100.0
SBI Cards & Payment Services Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2019/1575268925170.PDF,SBI Cards and Payment Services Limited,RHP,100.0
CMS Info Systems Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2017/1509189368588.pdf,CMS Info Systems Limited,RHP,100.0
HP Adhesives Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2021/1638887990094.pdf,HP Adhesives Limited,RHP,100.0
Data Patterns (India) Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/may-2023/1684483767956.pdf,Data Patterns (India) Limited,RHP,100.0
Rategain Travel Technologies Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2021/1629278801573.pdf,Rategain Travel Technologies Limited,RHP,100.0
Star Health & Allied Insurance Co.Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2021/1637747539836.pdf,Star Health and Allied Insurance Company Limited,RHP,88.88888888888889
Tarsons Products Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/may-2023/1683090785044.pdf,Tarsons Products Limited,RHP,100.0
Latent View Analytics Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2023/1681883805652.pdf,Latent View Analytics Limited,RHP,100.0
One 97 Communications Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2021/1626426805246.pdf,One 97 Communications Limited,RHP,100.0
Sapphire Foods India Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2021/1635501629359.PDF,Sapphire Foods India Limited,RHP,100.0
Sigachi Industries Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2021/1635221896966.pdf,Sigachi Industries Ltd,RHP,100.0
PB Fintech Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2021/1635395300515.pdf,PB Fintech Limited - RHP,RHP,100.0
Fino Payments Bank Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2021/1635160072149.PDF,Fino Payments Bank Limited,RHP,100.0
FSN E-Commerce Ventures Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2021/1634878630763.pdf,FSN E-Commerce Ventures Limited- RHP,RHP,100.0
Aditya Birla Sun Life AMC Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2021/1632457733243.pdf,Aditya Birla Sun Life AMC Limited - RHP,RHP,100.0
Chemplast Sanmar Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/may-2021/1620030645369.pdf,Chemplast Sanmar Limited,RHP,100.0
CarTrade Tech Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2021/1627878307780.pdf,Cartrade Tech Limited - RHP,RHP,100.0
Krsnaa Diagnostics Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/may-2023/1684479827992.pdf,Krsnaa Diagnostics Limited,RHP,100.0
Devyani International Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/may-2021/1621233522211.pdf,Devyani International Limited,RHP,100.0
Exxaro Tiles Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2021/1627629628713.pdf,Exxaro Tiles limited,RHP,100.0
Rolex Rings Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2023/1681710544133.pdf,Rolex Rings Limited,RHP,100.0
Glenmark Life Sciences Ltd.,https://www.sebi.gov.in/sebi_data/attachdocs/apr-2021/1618814754067.pdf,Glenmark Life Sciences Limited,RHP,100.0
