company,year,listing_date,first_day_return,issue_price,gmp_value,sub_total
Om Freight Forwarders Ltd.,2025,2025-10-08,-0.3585185185185185,135.0,-3.0,3.58
Glottis Ltd.,2025,2025-10-07,-0.35,129.0,0.0,1.95
Shree Ram Twistex Ltd.,2026,2026-03-02,-0.2937499999999999,104.0,-28.0,41.29
Innovision Ltd.,2026,2026-03-23,-0.2816955684007707,519.0,-92.0,3.35
One 97 Communications Ltd.,2021,2021-11-18,-0.2724883720930232,2150.0,-30.0,1.48
BMW Ventures Ltd.,2025,2025-10-01,-0.2323232323232323,99.0,0.0,1.0
Arisinfra Solutions Ltd.,2025,2025-06-25,-0.2157657657657657,222.0,0.0,1.96
Deepak Builders & Engineers India Ltd.,2024,2024-10-28,-0.2024630541871921,203.0,32.0,28.91
Abans Holdings Ltd.,2022,2022-12-23,-0.1998148148148147,270.0,3.0,1.08
Rategain Travel Technologies Ltd.,2021,2021-12-17,-0.1988235294117647,425.0,18.0,9.73
