variable,gmp_available (n=395),gmp_absent (n=21)
sub_total,0.6990831674153468,0.8363636363636363
brokers_avoid,-0.28409535695447974,-0.01233738917644886
brokers_subscribe,0.24746874406590183,0.4903622935368004
nifty_30d_return,0.22257990007434728,0.025974025974025976
nifty_7d_return,0.2059292688736302,-0.02207792207792208
borrowing,-0.14246588137089267,-0.38333333333333336
assets,-0.11126312671468211,-0.04643962848297214
nifty_close,-0.08957754720164053,0.13766233766233765
profit,0.07299657365207211,0.15376676986584106
net_worth,-0.07209212514475428,0.06785714285714285
lot_size,0.06854401459269598,-0.07734810306103336
issue_price,-0.06846405566252939,0.16103896103896104
revenue,-0.06094657179886791,-0.048503611971104234
fresh_issue,-0.039530376505091995,-0.11428571428571428
total_issue_size,-0.03041285675997035,0.11688311688311688
face_value,-0.022136238899922073,-0.10488452670408735
vix_close,0.015401133963982244,0.21890225253251783
ofs,-0.001316725007722641,-0.1264705882352941
