variable,n,spearman,spearman_p,pearson,abs_spearman
gmp_value,395,0.7121013391131716,2.3987992120647236e-62,0.5292522650576059,0.7121013391131716
sub_total,416,0.7078684957477532,1.717852651973626e-64,0.6351631583616059,0.7078684957477532
brokers_avoid,413,-0.26970299369282824,2.5781387058192883e-08,-0.22683800968654697,0.26970299369282824
brokers_subscribe,413,0.25915611898701874,9.17984759000952e-08,0.20954503429391635,0.25915611898701874
nifty_30d_return,416,0.2127740755531322,1.2036929885705914e-05,0.17532255378105638,0.2127740755531322
nifty_7d_return,416,0.19377863011740587,6.943830669130094e-05,0.13872575128992692,0.19377863011740587
borrowing,367,-0.15016435262489602,0.003935479298307778,0.012664576056536158,0.15016435262489602
assets,412,-0.10772246399267556,0.02879736941266051,-0.012556220008145939,0.10772246399267556
nifty_close,416,-0.0837285630333221,0.08808411216610529,-0.114243575537236,0.0837285630333221
profit,413,0.08256653539891837,0.0937917017492359,0.012031563209172312,0.08256653539891837
net_worth,399,-0.06519477700483405,0.19375116952673307,-0.00011165783171320097,0.06519477700483405
lot_size,416,0.06302824090991524,0.19951426311722764,0.09489189778346242,0.06302824090991524
revenue,412,-0.059603532525115424,0.22734843573998928,-0.04151474967319323,0.059603532525115424
issue_price,416,-0.05955205689920408,0.22549340743454632,-0.039659922648997994,0.05955205689920408
fresh_issue,335,-0.044969950901208935,0.41197450754262976,0.06737359136214034,0.044969950901208935
total_issue_size,416,-0.02569651774050823,0.60124048659679,0.06412997323260906,0.02569651774050823
vix_close,416,0.02343558339185288,0.6336318951710822,0.010115550587409363,0.02343558339185288
face_value,416,-0.021915864986372886,0.6558094661558322,0.02823626473744176,0.021915864986372886
gmp_available,416,-0.013028824509789068,0.7910490787601088,-0.0286788573702795,0.013028824509789068
ofs,336,-0.005966355889965638,0.9132353928558162,0.061456979068267546,0.005966355889965638
