var1,var2,spearman,abs_corr
lot_size,issue_price,-0.9963600262260198,0.9963600262260198
net_worth,assets,0.8628261349654579,0.8628261349654579
fresh_issue,total_issue_size,0.8164444785273589,0.8164444785273589
ofs,total_issue_size,0.8016867766219777,0.8016867766219777
gmp_value,sub_total,0.7274180202067866,0.7274180202067866
assets,revenue,0.7115823344151768,0.7115823344151768
borrowing,assets,0.704746515593973,0.704746515593973
assets,total_issue_size,0.6470954201810503,0.6470954201810503
net_worth,revenue,0.6106992425717576,0.6106992425717576
net_worth,ofs,0.5968871793475146,0.5968871793475146
net_worth,total_issue_size,0.5912476430542333,0.5912476430542333
vix_close,nifty_close,-0.5524712878822949,0.5524712878822949
assets,ofs,0.5413133402397909,0.5413133402397909
profit,revenue,0.5255294552224287,0.5255294552224287
borrowing,revenue,0.52072414492631,0.52072414492631
