variable,2019,2020,2021,2022,2023,2024,2025,2026
gmp_value,,74.0,77.5,9.0,32.0,46.5,20.0,0.0
sub_total,8.66,42.39,19.19,3.525,26.24,32.325,18.759999999999998,2.105
brokers_subscribe,1.0,7.5,4.0,5.0,7.0,5.0,6.0,4.0
brokers_avoid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
issue_price,195.0,323.0,536.0,328.0,285.0,285.5,246.0,173.5
revenue,691.7650000000001,291.685,341.99,398.055,523.1,609.72,697.19,741.42
assets,3170.09,1006.285,1028.645,1130.545,985.53,908.1,979.975,635.63
borrowing,1552.99,82.56,106.1,156.39,254.67000000000002,243.69,210.23,138.845
nifty_close,11584.2998046875,11623.47509765625,16512.7744140625,17725.0751953125,19638.30078125,23883.44921875,24968.0751953125,24229.1748046875
vix_close,16.649999618530273,20.1299991607666,16.244999885559082,18.210000038146973,11.789999961853027,14.305000305175781,11.71999979019165,15.014999866485596
