concept,2019,2020,2021,2022,2023,2024,2025,2026
auditor_qualification,0.368,0.286,0.469,0.447,0.305,0.467,0.452,0.536
contingent_liabilities,0.895,0.786,0.906,0.921,0.949,0.878,0.942,0.929
criminal_proceedings,0.789,0.643,0.688,0.553,0.492,0.589,0.615,0.643
customer_concentration,0.316,0.286,0.344,0.474,0.424,0.378,0.51,0.536
going_concern,0.053,0.286,0.203,0.289,0.186,0.178,0.135,0.143
litigation_general,0.947,0.929,1.0,1.0,0.983,0.978,0.99,1.0
pending_approvals,0.053,0.143,0.156,0.132,0.136,0.144,0.173,0.214
promoter_pledge_broad,0.632,0.643,0.797,0.868,0.831,0.856,0.856,0.893
promoter_pledge_narrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regulatory_action,0.579,1.0,0.953,0.895,0.915,0.978,0.952,1.0
related_party,0.947,1.0,0.984,1.0,1.0,0.967,0.981,1.0
rupee_near_contingent,0.211,0.214,0.234,0.316,0.254,0.222,0.298,0.321
rupee_near_litigation,0.526,0.286,0.438,0.553,0.441,0.5,0.442,0.357
rupee_near_related_party,0.053,0.143,0.359,0.421,0.373,0.233,0.279,0.179
supplier_concentration,0.105,0.071,0.125,0.158,0.339,0.356,0.481,0.5
