concept,hit_rate,n_files_with_hit,median_hits_when_hit,max_hits
related_party,0.988,411,7.0,28
litigation_general,0.971,404,7.0,24
contingent_liabilities,0.923,384,6.0,29
regulatory_action,0.875,364,5.0,44
promoter_pledge_broad,0.762,317,1.0,35
criminal_proceedings,0.584,243,2.0,13
rupee_near_litigation,0.445,185,3.0,38
auditor_qualification,0.409,170,4.0,15
customer_concentration,0.399,166,3.0,22
supplier_concentration,0.274,114,2.0,24
rupee_near_related_party,0.272,113,3.0,18
rupee_near_contingent,0.257,107,2.0,15
going_concern,0.168,70,1.0,25
pending_approvals,0.135,56,1.0,3
promoter_pledge_narrow,0.0,0,0.0,0
