company,year,file_stem,extraction_status,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps
Apeejay Surrendra Park Hotels Ltd.,2024,Apeejay_Surrendra_Park_Hotels_Ltd_,ok,13,91,78,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"
SAMHI Hotels Ltd.,2023,SAMHI_Hotels_Ltd_,ok,5,75,70,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21"
Globe Civil Projects Ltd.,2025,Globe_Civil_Projects_Ltd_,ok,10,78,68,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26"
RBZ Jewellers Ltd.,2023,RBZ_Jewellers_Ltd_,ok,12,79,67,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21"
Vraj Iron & Steel Ltd.,2024,Vraj_Iron___Steel_Ltd_,ok,7,65,58,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21"
Sula Vineyards Ltd.,2022,Sula_Vineyards_Ltd_,ok,21,78,57,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,17,18,19,22,24,25"
Om Power Transmission Ltd.,2026,Om_Power_Transmission_Ltd_,ok,34,90,56,"1,2,3,5,6,9,10,11,12,13,14,15,17,18,20,21,23,27,28,29"
Travel Food Services Ltd.,2025,Travel_Food_Services_Ltd_,ok,33,88,55,"1,2,3,4,5,6,7,8,9,10,12,13,14,17,19,20,21,22,23,24"
Vikran Engineering Ltd.,2025,Vikran_Engineering_Ltd_,ok,40,93,53,"1,2,4,6,8,9,11,12,13,14,16,17,18,20,23,25,30,32,33,51"
DAM Capital Advisors Ltd.,2024,DAM_Capital_Advisors_Ltd_,ok,7,55,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21"
Go Fashion (India) Ltd.,2021,Go_Fashion__India__Ltd_,ok,22,70,48,"1,2,3,4,6,7,8,9,10,12,13,14,18,19,20,21,22,23,24,28"
Shringar House of Mangalsutra Ltd.,2025,Shringar_House_of_Mangalsutra_Ltd_,ok,39,84,45,"1,2,3,5,6,7,9,11,16,17,19,20,22,23,24,25,26,27,31,32"
Cello World Ltd.,2023,Cello_World_Ltd_,ok,19,61,42,"10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,27,28,29,30,33"
Omnitech Engineering Ltd.,2026,Omnitech_Engineering_Ltd_,ok,42,84,42,"1,2,3,4,5,9,10,11,12,13,15,16,18,20,21,22,23,24,25,27"
Mrs.Bectors Food Specialities Ltd.,2020,Mrs_Bectors_Food_Specialities_Ltd_,ok,31,71,40,"1,2,4,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,30,35"
CSM Technologies Ltd.,2026,CSM_Technologies_Ltd_,ok,51,87,36,"1,2,3,4,6,9,10,12,14,16,17,19,20,21,22,26,27,29,30,31"
Aye Finance Ltd.,2026,Aye_Finance_Ltd_,ok,48,83,35,"1,3,4,5,6,9,11,12,14,15,16,17,18,19,23,24,25,29,30,32"
Global Health Ltd.,2022,Global_Health_Ltd_,ok,30,63,33,"10,11,12,13,14,15,17,18,19,20,23,24,27,28,31,32,33,34,37,38"
Craftsman Automation Ltd.,2021,Craftsman_Automation_Ltd_,ok,49,77,28,"1,2,3,13,14,15,16,19,23,25,26,27,29,30,31,32,33,35,40,41"
Akme Fintrade (India) Ltd.,2024,Akme_Fintrade__India__Ltd_,ok,38,63,25,"3,4,7,9,13,15,18,19,21,23,27,28,40,41,42,43,44,45,46,47"
Krishna Institute of Medical Sciences Ltd.,2021,Krishna_Institute_of_Medical_Sciences_Ltd_,ok,51,73,22,"6,12,17,21,22,25,26,27,30,32,33,35,38,39,49,50,52,57,60,61"
Sanathan Textiles Ltd.,2024,Sanathan_Textiles_Ltd_,ok,4,26,22,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23"
