filename,total_pages,new_start,new_end,new_pages,new_md_words,gt_words,coverage,jaccard,start_signals,end_signal,action,reason
HP_Adhesives_Ltd_.pdf,398,30,69,39,25822,26574,0.972,0.99,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Kaynes_Technology_India_Ltd_.pdf,503,40,90,50,39170,38200,1.025,0.918,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Global_Surfaces_Ltd_.pdf,405,35,77,42,27310,27746,0.984,0.987,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Avalon_Technologies_Ltd_.pdf,588,40,83,43,33079,32511,1.017,0.871,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Cyient_DLM_Ltd_.pdf,375,30,69,39,31281,30833,1.015,0.992,"internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Ratnaveer_Precision_Engineering_Ltd_.pdf,457,35,81,46,30170,29914,1.009,0.989,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Valiant_Laboratories_Ltd_.pdf,440,41,83,42,28024,27927,1.003,0.996,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Vraj_Iron___Steel_Ltd_.pdf,441,35,76,41,28780,28381,1.014,0.976,"internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Saraswati_Saree_Depot_Ltd_.pdf,398,45,89,44,27546,27233,1.011,0.942,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Premier_Energies_Ltd_.pdf,558,40,102,62,44479,43749,1.017,0.874,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
